CtgID	LG	Start	End	Size
seqctg_51	LG0	7791392	7967123	175732
seqctg_52	LG1	2789278	3441663	652386
seqctg_53	LG3	4745228	5744145	998918
seqctg_54	LG10	1	63826	63826
seqctg_55	LG10	70825	168686	97862
seqctg_56	LG4	2352947	2827908	474962
seqctg_57	LG7	1003910	1741073	737164
seqctg_58	LG0	7977004	8398458	421455
seqctg_59	LG8	1	435426	435426
seqctg_60	LG8	444746	777197	332452
seqctg_61	LG3	5750170	6015519	265350
seqctg_62	LG1	3446628	3671927	225300
seqctg_63	LG0	8406967	9257012	850046
seqctg_64	LG4	2835336	2967037	131702
seqctg_65	LG4	2968171	3847753	879583
seqctg_66	LG1	3677940	4435647	757708
seqctg_67	LG3	6020973	6152300	131328
seqctg_68	LG1	4438964	5140610	701647
seqctg_69	LG1	5148193	6086667	938475
seqctg_70	LG3	6154254	6418933	264680
seqctg_71	LG0	9265082	9380904	115823
seqctg_72	LG7	1748294	1781448	33155
seqctg_73	LG6	1214491	1373518	159028
seqctg_74	LG8	786557	1221267	434711
seqctg_75	LG2	2895982	3380534	484553
seqctg_76	LG1	6094767	6597182	502416
seqctg_77	LG3	6428347	6499685	71339
seqctg_78	LG3	6504478	6886148	381671
seqctg_79	LG0	9389152	9780385	391234
seqctg_80	LG1	6605635	6821259	215625
seqctg_81	LG5	2299293	2617900	318608
seqctg_82	LG6	1374869	2176194	801326
seqctg_83	LG1	6830405	7519144	688740
seqctg_84	LG10	171941	1107292	935352
seqctg_85	LG6	2183697	2280164	96468
seqctg_86	LG2	3383094	3634150	251057
seqctg_87	LG1	7524669	8178999	654331
seqctg_88	LG1	8183282	8818202	634921
seqctg_89	LG3	6891321	7524981	633661
seqctg_90	LG3	7533600	7637634	104035
seqctg_91	LG1	8824392	9656960	832569
seqctg_92	LG4	3855400	4102072	246673
seqctg_93	LG5	2626243	3217866	591624
seqctg_94	LG4	4111906	4267081	155176
seqctg_95	LG5	3223247	3858032	634786
seqctg_96	LG0	9788692	10254654	465963
seqctg_97	LG2	3642014	3764655	122642
seqctg_98	LG7	2686757	3285884	599128
seqctg_99	LG1	9665777	10583944	918168
seqctg_100	LG2	3770398	4401087	630690
seqctg_101	LG0	10261885	10427478	165594
seqctg_102	LG0	10430227	10658908	228682
seqctg_103	LG2	4406728	5313252	906525
seqctg_104	LG3	7643536	7679541	36006
seqctg_105	LG0	10661065	11176171	515107
seqctg_106	LG6	2283787	3186251	902465
seqctg_107	LG0	11179097	11326645	147549
seqctg_108	LG3	7687401	7926063	238663
seqctg_109	LG5	3864039	4013395	149357
seqctg_110	LG0	11333321	12261406	928086
seqctg_111	LG2	5319089	5675096	356008
seqctg_112	LG7	3295591	3508972	213382
seqctg_113	LG3	7929900	8622555	692656
seqctg_114	LG2	5676909	5887208	210300
seqctg_115	LG0	12270907	13193687	922781
seqctg_116	LG2	5894298	6864963	970666
seqctg_117	LG0	13202855	14097200	894346
seqctg_118	LG0	14105708	14465000	359293
seqctg_119	LG6	3186535	3760982	574448
seqctg_120	LG4	4270148	5183822	913675
seqctg_121	LG5	4017251	4407470	390220
seqctg_122	LG0	14472558	14896320	423763
seqctg_123	LG5	4411890	4756064	344175
seqctg_124	LG4	5189108	5657863	468756
seqctg_125	LG0	14898095	14924073	25979
seqctg_126	LG0	14932085	15718304	786220
seqctg_127	LG6	3764709	4448184	683476
seqctg_128	LG0	15721541	16536640	815100
seqctg_129	LG5	4757103	5569313	812211
seqctg_130	LG3	8623234	8877314	254081
seqctg_131	LG5	5575458	5830189	254732
seqctg_132	LG5	5835388	6449247	613860
seqctg_133	LG5	6454636	6889962	435327
seqctg_134	LG0	16541009	16732444	191436
seqctg_135	LG3	8880064	9347956	467893
seqctg_136	LG1	10587986	11079284	491299
seqctg_137	LG3	9356714	10221985	865272
seqctg_138	LG8	1227322	2165917	938596
seqctg_139	LG0	16736467	16775603	39137
seqctg_140	LG4	5665306	5711291	45986
seqctg_141	LG5	6895432	7638444	743013
seqctg_142	LG0	16784757	17440850	656094
seqctg_143	LG3	10226481	10624372	397892
seqctg_144	LG0	17441587	18088037	646451
seqctg_145	LG1	11083936	11585230	501295
seqctg_146	LG2	6873841	7235051	361211
seqctg_147	LG2	7238708	7816486	577779
seqctg_148	LG8	2171960	2645573	473614
seqctg_149	LG1	11591481	11906589	315109
seqctg_150	LG2	7816903	8328061	511159
seqctg_151	LG1	11907316	12200725	293410
seqctg_152	LG0	18089353	18951781	862429
seqctg_153	LG4	5716166	6312268	596103
seqctg_154	LG3	10633824	10960273	326450
seqctg_155	LG0	18958353	18984601	26249
seqctg_156	LG4	6321431	6408714	87284
seqctg_157	LG7	3509327	4111593	602267
seqctg_158	LG0	18990704	19229934	239231
seqctg_159	LG8	2653363	3540993	887631
seqctg_160	LG3	10967175	11778096	810922
seqctg_161	LG0	19231021	19735670	504650
seqctg_162	LG9	1599798	1876922	277125
seqctg_163	LG0	19741471	20717666	976196
seqctg_164	LG3	11782288	11987186	204899
seqctg_165	LG5	7647306	7803137	155832
seqctg_166	LG6	4453472	4604786	151315
seqctg_167	LG8	3543995	3864430	320436
seqctg_168	LG1	12210290	12628182	417893
seqctg_169	LG1	12631083	13121791	490709
seqctg_170	LG0	20720793	20753924	33132
seqctg_171	LG0	20758477	21647517	889041
seqctg_172	LG7	4120627	4844117	723491
seqctg_173	LG1	13125422	13859993	734572
seqctg_174	LG1	13862607	14197323	334717
seqctg_175	LG3	11989512	12346912	357401
seqctg_176	LG0	21654731	22617761	963031
seqctg_177	LG7	4846206	5693318	847113
seqctg_178	LG0	22626718	23109054	482337
seqctg_179	LG5	7803719	7987847	184129
seqctg_180	LG8	3869912	4477978	608067
seqctg_181	LG5	7990251	8670610	680360
seqctg_182	LG1	14202348	14557272	354925
seqctg_183	LG3	12354777	12747388	392612
seqctg_184	LG4	6418569	6442674	24106
seqctg_185	LG0	23112351	23117665	5315
seqctg_186	LG4	6447053	7226126	779074
seqctg_187	LG1	14560047	15239242	679196
seqctg_188	LG1	15247952	15767966	520015
seqctg_189	LG4	7234363	7522745	288383
seqctg_190	LG6	4614454	5596333	981880
seqctg_191	LG3	12754247	13084478	330232
seqctg_192	LG0	23119660	23390232	270573
seqctg_193	LG4	7531947	7779307	247361
seqctg_194	LG2	8328220	9208704	880485
seqctg_195	LG0	23390371	23453042	62672
seqctg_196	LG5	8680472	8861704	181233
seqctg_197	LG3	13087382	13449988	362607
seqctg_198	LG1	15774106	15855689	81584
seqctg_199	LG0	23455724	23780606	324883
seqctg_200	LG1	15861448	16773604	912157
seqctg_201	LG0	23783396	24112216	328821
seqctg_202	LG1	16777522	17138190	360669
seqctg_203	LG2	9209855	9839047	629193
seqctg_204	LG0	24117279	24888176	770898
seqctg_205	LG8	4485889	5003888	518000
seqctg_206	LG1	17147037	17439420	292384
seqctg_207	LG0	24889412	25654754	765343
seqctg_208	LG9	1885033	2618613	733581
seqctg_209	LG0	25655490	26585022	929533
seqctg_210	LG1	17444684	18239136	794453
seqctg_211	LG5	8865684	9800962	935279
seqctg_212	LG6	5606288	5921469	315182
seqctg_213	LG0	26593977	27060091	466115
seqctg_214	LG5	9809469	9879874	70406
seqctg_215	LG1	18244018	18816150	572133
seqctg_216	LG0	27062375	27849112	786738
seqctg_217	LG0	27858889	27979524	120636
seqctg_218	LG1	18822441	19803636	981196
seqctg_219	LG0	27981768	28819924	838157
seqctg_220	LG3	13453392	14270412	817021
seqctg_221	LG0	28822239	29619621	797383
seqctg_222	LG1	19807983	20628705	820723
seqctg_223	LG0	29623396	30073748	450353
seqctg_224	LG0	30075916	30912562	836647
seqctg_225	LG4	7787706	8305808	518103
seqctg_226	LG3	14277133	14474339	197207
seqctg_227	LG1	20629578	20785555	155978
seqctg_228	LG2	9844327	10571658	727332
seqctg_229	LG5	9881117	10158674	277558
seqctg_230	LG1	20787864	21166739	378876
seqctg_231	LG0	30918133	31108780	190648
seqctg_232	LG9	2621694	3619762	998069
seqctg_233	LG4	8312471	8452868	140398
seqctg_234	LG0	31113634	31583993	470360
seqctg_235	LG8	5012938	5223273	210336
seqctg_236	LG2	10574039	10934613	360575
seqctg_237	LG0	31586443	32350160	763718
seqctg_238	LG2	10941258	11628553	687296
seqctg_239	LG4	8462798	8599770	136973
seqctg_240	LG3	14474715	15053648	578934
seqctg_241	LG8	5223915	5514254	290340
seqctg_242	LG0	32351939	32659597	307659
seqctg_243	LG2	11631173	12511055	879883
seqctg_244	LG8	5516363	6291049	774687
seqctg_245	LG3	15063441	15242579	179139
seqctg_246	LG0	32663690	32781417	117728
seqctg_247	LG0	32789633	33707591	917959
seqctg_248	LG2	12520477	13252477	732001
seqctg_249	LG3	15242948	16196127	953180
seqctg_250	LG3	16203243	16637781	434539
seqctg_251	LG1	21176281	21673562	497282
seqctg_252	LG3	16638068	17426405	788338
seqctg_253	LG0	33710557	34412653	702097
seqctg_254	LG5	10166008	11063259	897252
seqctg_255	LG0	34419633	34726081	306449
seqctg_256	LG4	8607603	9251176	643574
seqctg_257	LG0	34728350	34955620	227271
seqctg_258	LG4	9251828	9626440	374613
seqctg_259	LG8	6297079	6777343	480265
seqctg_260	LG6	5922361	6421714	499354
seqctg_261	LG0	34955918	35608396	652479
seqctg_262	LG0	35616488	35850873	234386
seqctg_263	LG2	13260873	14032898	772026
seqctg_264	LG4	9634326	10166269	531944
seqctg_265	LG5	11065378	11683667	618290
seqctg_266	LG2	14040123	14460177	420055
seqctg_267	LG0	35857378	36129510	272133
seqctg_268	LG1	21677745	22108479	430735
seqctg_269	LG5	11691510	12471877	780368
seqctg_270	LG1	22108965	23023227	914263
seqctg_271	LG3	17428196	17702753	274558
seqctg_272	LG0	36130853	37032344	901492
seqctg_273	LG0	37034399	37287460	253062
seqctg_274	LG3	17704931	18320447	615517
seqctg_275	LG2	14465232	15206926	741695
seqctg_276	LG0	37287898	37807817	519920
seqctg_277	LG0	37814212	38441596	627385
seqctg_278	LG1	23023916	23124171	100256
seqctg_279	LG4	10171559	10308202	136644
seqctg_280	LG0	38446265	39417597	971333
seqctg_281	LG0	39422787	39788022	365236
seqctg_282	LG1	23130065	23946030	815966
seqctg_283	LG2	15208069	15497990	289922
seqctg_284	LG6	6425766	7103284	677519
seqctg_285	LG0	39791181	40632767	841587
seqctg_286	LG0	40637189	41030303	393115
seqctg_287	LG1	23951209	24001627	50419
seqctg_288	LG1	24007411	24778309	770899
seqctg_289	LG0	41036998	41211662	174665
seqctg_290	LG2	15505144	15925069	419926
seqctg_291	LG3	18325140	19079228	754089
seqctg_292	LG6	7110858	7502741	391884
seqctg_293	LG0	41221455	42165331	943877
seqctg_294	LG0	42167050	42496735	329686
seqctg_295	LG1	24778542	25657395	878854
seqctg_296	LG3	19079776	19989549	909774
seqctg_297	LG1	25665356	26140978	475623
seqctg_298	LG8	6787297	7249480	462184
seqctg_299	LG0	42504290	43394927	890638
seqctg_300	LG0	43402838	44042476	639639
seqctg_301	LG2	15929875	16469529	539655
seqctg_302	LG5	12478556	12545851	67296
seqctg_303	LG1	26142413	26623406	480994
seqctg_304	LG1	26629792	27196538	566747
seqctg_305	LG0	44046095	44786530	740436
seqctg_306	LG1	27197174	27296804	99631
seqctg_307	LG0	44787304	45290540	503237
seqctg_308	LG0	45291108	45716029	424922
seqctg_309	LG7	5698178	5746255	48078
seqctg_310	LG8	7258133	7388495	130363
seqctg_311	LG2	16471056	17426349	955294
seqctg_312	LG5	12553793	13311927	758135
seqctg_313	LG2	17431814	18333852	902039
seqctg_314	LG7	6352399	6701392	348994
seqctg_315	LG8	7392135	8302672	910538
seqctg_316	LG2	18340203	19245171	904969
seqctg_317	LG0	45721567	46523175	801609
seqctg_318	LG0	46526667	46799810	273144
seqctg_319	LG3	19998110	20400820	402711
seqctg_320	LG3	20406674	20708192	301519
seqctg_321	LG5	13320710	13717686	396977
seqctg_322	LG6	7506201	7881935	375735
seqctg_323	LG2	19254901	20055240	800340
seqctg_324	LG2	20055907	20331067	275161
seqctg_325	LG4	10310238	11287876	977639
seqctg_326	LG1	27304566	28199645	895080
seqctg_327	LG2	20331893	21229716	897824
seqctg_328	LG5	13720758	13735787	15030
seqctg_329	LG4	11288842	12207192	918351
seqctg_330	LG4	12214583	12330435	115853
seqctg_331	LG8	8308053	8864964	556912
seqctg_332	LG9	3621494	4619623	998130
seqctg_333	LG1	28208979	28480857	271879
seqctg_334	LG2	21232884	21762721	529838
seqctg_335	LG0	46802674	46935730	133057
seqctg_336	LG3	20717692	20971413	253722
seqctg_337	LG2	21771831	22274649	502819
seqctg_338	LG2	22278969	22772068	493100
seqctg_339	LG4	12333156	13301302	968147
seqctg_340	LG4	13308500	13611836	303337
seqctg_341	LG7	6708736	7234381	525646
seqctg_342	LG0	46944867	47546631	601765
seqctg_343	LG3	20978469	21602317	623849
seqctg_344	LG4	13615851	14370307	754457
seqctg_345	LG0	47549764	48376652	826889
seqctg_346	LG1	28490736	29358066	867331
seqctg_347	LG3	21602683	22443891	841209
seqctg_348	LG1	29367480	29818654	451175
seqctg_349	LG0	48380970	49199609	818640
seqctg_350	LG0	49207807	49931928	724122
seqctg_351	LG2	22780838	23645704	864867
seqctg_352	LG9	4621611	4717453	95843
seqctg_353	LG1	29826055	30693337	867283
seqctg_354	LG7	7235776	7949718	713943
seqctg_355	LG4	14380155	14601686	221532
seqctg_356	LG1	30697231	30747678	50448
seqctg_357	LG2	23646957	23649680	2724
seqctg_358	LG8	8870429	9642197	771769
seqctg_359	LG1	30752244	31501238	748995
seqctg_360	LG0	49933390	50672949	739560
seqctg_361	LG1	31510273	31585757	75485
seqctg_362	LG1	31587197	31732646	145450
seqctg_363	LG2	23657907	24657367	999461
seqctg_364	LG0	50677642	50844135	166494
seqctg_365	LG1	31740399	32621196	880798
seqctg_366	LG5	13739918	13886931	147014
seqctg_367	LG0	50850013	50915662	65650
seqctg_368	LG1	32627141	33249453	622313
seqctg_369	LG4	14604546	15482789	878244
seqctg_370	LG3	22452052	22483164	31113
seqctg_371	LG0	50917825	51150888	233064
seqctg_372	LG3	22492349	23097040	604692
seqctg_373	LG0	51158410	52120038	961629
seqctg_374	LG7	7958140	8103439	145300
seqctg_375	LG0	52125537	52675080	549544
seqctg_376	LG5	13889155	13929089	39935
seqctg_377	LG4	15486755	15946308	459554
seqctg_378	LG5	13936342	14831093	894752
seqctg_379	LG1	33257313	33497430	240118
seqctg_380	LG3	23100362	23261625	161264
seqctg_381	LG9	4722378	5530594	808217
seqctg_382	LG2	24657852	25598114	940263
seqctg_383	LG2	25603319	26101151	497833
seqctg_384	LG2	26110759	26635949	525191
seqctg_385	LG0	52683260	53325164	641905
seqctg_386	LG0	53328629	53344855	16227
seqctg_387	LG4	15950339	16251095	300757
seqctg_388	LG0	53349975	54277399	927425
seqctg_389	LG3	23268435	23327377	58943
seqctg_390	LG0	54284751	55079492	794742
seqctg_391	LG6	7889067	8258497	369431
seqctg_392	LG1	33504125	34259396	755272
seqctg_393	LG6	8264840	9110287	845448
seqctg_394	LG1	34265185	34723712	458528
seqctg_395	LG7	8806749	9422806	616058
seqctg_396	LG3	23334427	24244086	909660
seqctg_397	LG5	14838075	15681419	843345
seqctg_398	LG0	55083019	55125313	42295
seqctg_399	LG0	55131963	55410379	278417
seqctg_400	LG0	55416178	56316333	900156
seqctg_401	LG2	26645067	26760851	115785
seqctg_402	LG2	26764251	27161889	397639
seqctg_403	LG10	1116817	1625865	509049
seqctg_404	LG0	56320146	57106966	786821
seqctg_405	LG5	15691131	15831383	140253
seqctg_406	LG0	57108916	57374177	265262
seqctg_407	LG3	24244626	24860196	615571
seqctg_408	LG0	57380974	57852225	471252
seqctg_409	LG0	57855769	58181397	325629
seqctg_410	LG1	34725153	35123885	398733
seqctg_411	LG4	16253105	16738657	485553
seqctg_412	LG6	9111045	9112388	1344
seqctg_413	LG0	58186106	59150449	964344
seqctg_414	LG7	9423806	10211122	787317
seqctg_415	LG0	59150717	59678033	527317
seqctg_416	LG1	35133728	36045433	911706
seqctg_417	LG1	36050830	36899735	848906
seqctg_418	LG4	16748569	17116366	367798
seqctg_419	LG0	59679116	59762227	83112
seqctg_420	LG0	59767731	59984126	216396
seqctg_421	LG4	17119224	18085973	966750
seqctg_422	LG4	18094921	19054624	959704
seqctg_423	LG4	19059423	19824411	764989
seqctg_424	LG1	36905239	37265298	360060
seqctg_425	LG0	59992650	60907846	915197
seqctg_426	LG1	37272893	37560900	288008
seqctg_427	LG1	37561514	37865418	303905
seqctg_428	LG10	1631254	2118314	487061
seqctg_429	LG9	5531570	5778447	246878
seqctg_430	LG1	37870124	38816043	945920
seqctg_431	LG0	60912450	60962553	50104
seqctg_432	LG4	19827875	20093408	265534
seqctg_433	LG0	60968963	61299497	330535
seqctg_434	LG0	61307398	61637324	329927
seqctg_435	LG0	61642183	61724280	82098
seqctg_436	LG1	38818042	39661606	843565
seqctg_437	LG4	20096059	20401131	305073
seqctg_438	LG3	24864498	25850144	985647
seqctg_439	LG7	10214837	10688939	474103
seqctg_440	LG5	15835190	15921956	86767
seqctg_441	LG2	27167706	28145294	977589
seqctg_442	LG7	10690966	11423575	732610
seqctg_443	LG1	39664613	39770748	106136
seqctg_444	LG0	61732023	61987182	255160
seqctg_445	LG1	39779834	40071017	291184
seqctg_446	LG6	9119337	9975856	856520
seqctg_447	LG9	5785457	6686739	901283
seqctg_448	LG2	28151205	28382480	231276
seqctg_449	LG3	25860136	26074771	214636
seqctg_450	LG2	28390710	28835908	445199
seqctg_451	LG2	28845714	29218117	372404
seqctg_452	LG0	61995272	62699929	704658
seqctg_453	LG6	9979603	10392302	412700
seqctg_454	LG3	26075390	26393403	318014
seqctg_455	LG0	62702794	62846676	143883
seqctg_456	LG1	40075550	40538807	463258
seqctg_457	LG4	20404407	21108054	703648
seqctg_458	LG2	29224065	30118918	894854
seqctg_459	LG2	30125276	30759077	633802
seqctg_460	LG7	11429390	11797567	368178
seqctg_461	LG3	26396121	27241141	845021
seqctg_462	LG3	27250537	27886680	636144
seqctg_463	LG1	40540238	40628125	87888
seqctg_464	LG3	27888300	28109937	221638
seqctg_465	LG3	28118478	28383688	265211
seqctg_466	LG2	30764144	31483278	719135
seqctg_467	LG1	40635856	41508606	872751
seqctg_468	LG1	41516286	42069153	552868
seqctg_469	LG3	28392160	29196149	803990
seqctg_470	LG0	62851633	63501512	649880
seqctg_471	LG3	29203017	29331008	127992
seqctg_472	LG1	42073522	43007932	934411
seqctg_473	LG5	15931837	16344417	412581
seqctg_474	LG0	63510720	64390805	880086
seqctg_475	LG0	64393650	65322646	928997
seqctg_476	LG2	31491443	31603340	111898
seqctg_477	LG3	29334100	30303593	969494
seqctg_478	LG1	43010275	43644805	634531
seqctg_479	LG0	65327726	65765681	437956
seqctg_480	LG2	31609826	32120500	510675
seqctg_481	LG0	65769424	66544151	774728
seqctg_482	LG1	43652552	43793247	140696
seqctg_483	LG2	32128337	32812944	684608
seqctg_484	LG4	21113732	21572063	458332
seqctg_485	LG6	10393943	11190043	796101
seqctg_486	LG3	30310252	30709196	398945
seqctg_487	LG5	16346131	16575586	229456
seqctg_488	LG2	32813452	33055192	241741
seqctg_489	LG0	66550943	67440522	889580
seqctg_490	LG0	67443181	68240347	797167
seqctg_491	LG1	43796686	43990033	193348
seqctg_492	LG0	68245212	69109876	864665
seqctg_493	LG5	16581787	16953464	371678
seqctg_494	LG7	11806401	12136449	330049
seqctg_495	LG0	69114910	69734607	619698
seqctg_496	LG10	2118611	2457976	339366
seqctg_497	LG0	69739411	70554725	815315
seqctg_498	LG3	30718605	31072052	353448
seqctg_499	LG5	16955098	17306127	351030
seqctg_500	LG0	70562758	70979132	416375
seqctg_501	LG1	43992231	44741717	749487
seqctg_502	LG3	31073520	31281176	207657
seqctg_503	LG2	33062820	33487763	424944
seqctg_504	LG1	44746335	44893353	147019
seqctg_505	LG1	44899376	44932050	32675
seqctg_506	LG0	70982022	71224111	242090
seqctg_507	LG2	33489968	34252500	762533
seqctg_508	LG4	21580631	21596166	15536
seqctg_509	LG4	21603466	21882938	279473
seqctg_510	LG0	71230096	71440059	209964
seqctg_511	LG0	71444897	71545643	100747
seqctg_512	LG4	21883748	22656998	773251
seqctg_513	LG1	44936857	45178901	242045
seqctg_514	LG7	12145642	12930664	785023
seqctg_515	LG0	71551424	72530316	978893
seqctg_516	LG0	72539055	72829386	290332
seqctg_517	LG0	72838170	73622698	784529
seqctg_518	LG0	73628295	73644418	16124
seqctg_519	LG3	31285438	31776522	491085
seqctg_520	LG0	73645196	73885022	239827
seqctg_521	LG2	34255889	35167322	911434
seqctg_522	LG0	73890105	74151370	261266
seqctg_523	LG1	45182865	45230126	47262
seqctg_524	LG4	22665525	23606627	941103
seqctg_525	LG1	45235212	45281147	45936
seqctg_526	LG2	35172135	36024389	852255
seqctg_527	LG1	45284616	45531884	247269
seqctg_528	LG6	11195652	11901525	705874
seqctg_529	LG2	36031191	36274908	243718
seqctg_530	LG0	74153091	74349322	196232
seqctg_531	LG2	36277024	36438906	161883
seqctg_532	LG0	74351216	74432400	81185
seqctg_533	LG3	31781911	32267131	485221
seqctg_534	LG3	32268127	32962685	694559
seqctg_535	LG4	23615372	24173700	558329
seqctg_536	LG0	74435150	74715888	280739
seqctg_537	LG8	9645663	10203836	558174
seqctg_538	LG1	45533060	45588328	55269
seqctg_539	LG0	74720830	74772394	51565
seqctg_540	LG2	36442393	36502373	59981
seqctg_541	LG0	74774932	75472616	697685
seqctg_542	LG0	75474530	75727789	253260
seqctg_543	LG5	17309143	18098270	789128
seqctg_544	LG5	18103928	18608801	504874
seqctg_545	LG0	75728618	76297475	568858
seqctg_546	LG0	76307325	76742861	435537
seqctg_547	LG0	76748769	77173076	424308
seqctg_548	LG6	11906513	12899135	992623
seqctg_549	LG0	77181362	77457327	275966
seqctg_550	LG4	24176965	25053945	876981
seqctg_551	LG1	45597077	45830308	233232
seqctg_552	LG2	36506337	37138467	632131
seqctg_553	LG3	32966833	33856232	889400
seqctg_554	LG7	12939970	13419470	479501
seqctg_555	LG3	33859663	34730948	871286
seqctg_556	LG4	25061651	25630819	569169
seqctg_557	LG4	25635942	26413248	777307
seqctg_558	LG1	45834856	45884113	49258
seqctg_559	LG3	34737751	35538312	800562
seqctg_560	LG3	35540235	36275737	735503
seqctg_561	LG7	13423649	13651749	228101
seqctg_562	LG4	26422919	27321521	898603
seqctg_563	LG0	77465459	78245954	780496
seqctg_564	LG1	45889046	46050122	161077
seqctg_565	LG7	13659376	14515252	855877
seqctg_566	LG7	14515976	15202915	686940
seqctg_567	LG3	36282513	37198060	915548
seqctg_568	LG0	78249474	78711976	462503
seqctg_569	LG2	37140714	37495851	355138
seqctg_570	LG5	18614307	19078415	464109
seqctg_571	LG0	78713642	79188362	474721
seqctg_572	LG2	37496768	38411299	914532
seqctg_573	LG0	79194273	79339692	145420
seqctg_574	LG0	79343576	79980612	637037
seqctg_575	LG1	46057169	46473025	415857
seqctg_576	LG0	79980889	80312504	331616
seqctg_577	LG5	19084221	19248568	164348
seqctg_578	LG3	37199319	37995495	796177
seqctg_579	LG5	19254329	19500966	246638
seqctg_580	LG2	38419337	39241218	821882
seqctg_581	LG4	27330829	27822746	491918
seqctg_582	LG1	46480114	46570431	90318
seqctg_583	LG5	19501693	19971798	470106
seqctg_584	LG2	39245137	39246078	942
seqctg_585	LG8	10207432	10658462	451031
seqctg_586	LG1	46571320	47430594	859275
seqctg_587	LG1	47437360	47550833	113474
seqctg_588	LG0	80320190	80681446	361257
seqctg_589	LG1	47553399	47614298	60900
seqctg_590	LG1	47624021	48204251	580231
seqctg_591	LG0	80690977	81408162	717186
seqctg_592	LG4	27823422	28786463	963042
seqctg_593	LG0	81416257	81474407	58151
seqctg_594	LG0	81480758	82381904	901147
seqctg_595	LG0	82388466	82759491	371026
seqctg_596	LG3	37996799	38237640	240842
seqctg_597	LG9	6689764	7525547	835784
seqctg_598	LG2	39248077	39331159	83083
seqctg_599	LG0	82764406	83210860	446455
seqctg_600	LG0	83218169	83978401	760233
seqctg_601	LG5	19973121	20969482	996362
seqctg_602	LG2	39337436	40233136	895701
seqctg_603	LG3	38241270	38817523	576254
seqctg_604	LG1	48209226	48631350	422125
seqctg_605	LG0	83981705	84776819	795115
seqctg_606	LG0	84780595	85306977	526383
seqctg_607	LG1	48641334	49270583	629250
seqctg_608	LG4	28793910	29274428	480519
seqctg_609	LG0	85312219	85757050	444832
seqctg_610	LG6	12908133	13745720	837588
seqctg_611	LG0	85762806	86220729	457924
seqctg_612	LG3	38818187	39369895	551709
seqctg_613	LG4	29278112	29338076	59965
seqctg_614	LG0	86221287	86476250	254964
seqctg_615	LG3	39376551	39443101	66551
seqctg_616	LG9	7532446	7941867	409422
seqctg_617	LG2	40242495	40759914	517420
seqctg_618	LG0	86476969	87013439	536471
seqctg_619	LG0	87017571	87643228	625658
seqctg_620	LG0	87645001	87692472	47472
seqctg_621	LG1	49278289	49307719	29431
seqctg_622	LG0	87700526	87762469	61944
seqctg_623	LG0	87768146	88554332	786187
seqctg_624	LG5	20977925	21566025	588101
seqctg_625	LG1	49315238	49782243	467006
seqctg_626	LG1	49783807	50090763	306957
seqctg_627	LG0	88559821	89039705	479885
seqctg_628	LG0	89049637	89955188	905552
seqctg_629	LG4	29341765	29556342	214578
seqctg_630	LG3	39445012	39692359	247348
seqctg_631	LG1	50091033	50617217	526185
seqctg_632	LG4	29557535	29759352	201818
seqctg_633	LG1	50626591	50780857	154267
seqctg_634	LG7	15207991	15253620	45630
seqctg_635	LG0	89956449	90680404	723956
seqctg_636	LG3	39696429	40460233	763805
seqctg_637	LG1	50788133	51473661	685529
